Controlling lead mute,BrooksBrown,"I make heavy use of lead mute. My problem is that this makes switching presets time consuming because I have to make two switches: change the preset, and then go into setup and change lead mute off or on.Is there a way o...",Classification,Confidence
Micro Tuning and GM2 Transpose Support,KarimEl-Far,What is the best way to contact behringer?This is a very important feature to support Micro-Tuning and General Midi 2 support.,awareness,0.473
midi to control the variations,manmidi,"Hello everyone, just curious if it is possible to control the variations via a midi foot controller. Could this be built into a firmware upgrade? thanks.",consideration,0.607
Sub'N'Up Poly vs. Toneprint Issue,iggs,"Hey all,Toneprint sounds on the Sub'N'Up pedal are quite ""glitchy"" sounding in comparison to Poly mode for the exact same settings. Anyone else have this issue?To clarify ... when I make a toneprint to match the manual P...",advocacy,0.395
DeepMind 6 Not Receiving or Sending Midi,ZaneMiihlbach,Hey so im trying to control my DeepMind 6 with my master keyboard but i cant get it to respond to midi note data or pass midi on to the other synths i have in the midi chain. i updated to the latest firmware available o...,awareness,0.513
which tone print sounds mostly like a contra bass,HenkT,which tone print sounds mostly like a contra bassDo you have a suggestion?,awareness,0.299
Flashback 2 toneprint app recognizes pedal. Will not edit IO...,Badhabit,"TC owes me a $30 refund for the camera connector kit I just bought to connect my pedal to my iPad. It sees the the pedal, you can choose a template, but that’s all. The editor portion of the app doesn’t is not even viewa...",decision,0.631
Flashback 2 toneprint app recognizes pedal. Will not edit IO...,Badhabit,"TC owes me a $30 refund for the camera connector kit I just bought to connect my pedal to my iPad. It sees the the pedal, you can choose a template, but that’s all. The editor portion of the app doesn’t is not even viewa...",decision,0.631
Using ireal pro and preamp,NickCheetham,This may be a rookie question - I am using amplification for the first time as a violinist. I have a prodipe condenser microphone plugged via xlr into my mic500usb preamp. Output then goes to a Marshall guitar amp.I am ...,consideration,0.203
VoiceLive3 Extreme Looper,conskee,Just bought the VoiceLive3 Extreme and I am trying to master the Looper. I used another looper unit from another manufacturer and there is a feature on that looper called 'Auto Record'. How that works is you press the pe...,decision,0.421
Metal blade inside pedal under USB connect port,TPFB,"Hi!Simple question: inside the Flashback II pedal, there is a metal blade underneath where you plug in the USB cable that connects to a small square metal thingy on the back plate when you screw it together. What's it fo...",awareness,0.519
Sick Neutron?,GregSmith,"New Neutron Broken? Just received, tried usb and old midi direct, synth works for a few minutes, then either gets stuck note, or no note, light near volume control stays lit, even after I unplug midi kbd, only reboot res...",awareness,0.752
G-Major -> G-Major 2,Mikhael,"I just bought a G-Major 2 (hasn't arrived yet) to replace my finally-dead G-Major (I've cleaned the ribbon connectors and socketed chips so many times to bring it back to life, and finally it refuses to acknowledge me). ...",negative,0.255
BH250 schematic/service manual,DD247,Hello all.I've got a popped resistor on my BH250 head and cant get the values due to the damage. Is there a service manual/schematic available. It the resistor R4 next to the main power switch and fuse if anybody has one...,awareness,0.686
Voicelive 2 Harmony breaking up PLEASE HELP!!,Wakerz,"Hi guys. I’m having ongoing issues with the harmony on my voicelive 2. Every so often the harmony breaks up and distorts, almost like it can’t handle the processing it’s having to do. I’ve updated the firmware but it did...",awareness,0.566
Patch request/sharing thread!,ClaytonCoburn,"Hi,I recently purchased a Neutron, my first hardware synt. I've used analog modeling softsynths for more than a decade, so I feel quite at home with the layout and preset routings. However, I know that I'm barely scratc...",decision,0.576
Harmony G-XT in the effects loop feasible?,flashObazbo,Hello - I was wondering if anyone has possibly had any experience placing the Harmony G-XT in an FX loop as opposed to a direct Guitar input into the Guitar jack on the GX-T? I've been using the G-XT for many years with...,consideration,0.488
DM12 Editor App - PC Windows Connection Issue,MarcoFantone,Apologies for what is likely a repeat question however I did try a search first. DM12 is my first synth so everything right now is a huge learning curve. I'm trying to sync my laptop and I believe I've made all the right...,awareness,0.685
Be sure to trim your backing tracks...,JohnShelley,"So, If you have started using backing tracks in your VL3X, (awesome) just a word of advice.. be sure the tracks are cut clean after the last note. Because CURRENTLY, (maybe they will fix this in a upcoming release) if y...",awareness,0.732
Oscillator CV: How do you use it?,DaveDuncan,I'm attempting to use the Slew in order to get glissando effects. (Dare I link to it? https://www.youtube.com/watch?v=oK0fhSr-ARY&t=3m21s)Trouble is that when I set the assignable output to one of the oscillators and...,awareness,0.767
Starting Backing Tracks on the Beat... UGH,JohnShelley,"One of the things I'm most excited about with the VL3X is the backing tracks. Up to now, I have had them externally and this required a hand to start the track. Being able to start the track with a food stomp is a god ...",awareness,0.605
sub n up issues with poly and classic,dadoneri,"Hi, I've just opened the box and I found the pedal not working in poly and classic mode...It starts working if I switch on the toneprint mode....and when I do that, all three modes (poly, classic and toneprint) sound exa...",decision,0.365
Quest for vocal tone experiment,SavvasSymeonidi,Hello people. First post here and just started fiddling with the VL Extreme. The first experiment will be to make a vocal patch in an attempt to replicate what you hear in Shooting Star by Gojira. Help me create the patc...,awareness,0.322
DeepMind Patch Sharing?,FritzdeVries,"Hi,is there a site to exchange DeepMind patches? Thanks + greetings,Fritz",awareness,0.721
Bugera v55hd infinium flashing,RonMagori,HelloI just bought a new bugera v55hd from a known dealer in Germany. Out of the box the amp was very microphonic. Slight hit on the case makes singing sounds. After a couple of days the standby light flashed for a few...,decision,0.51
sun n up tone print editor,pattyboy,"Hi new here, I can seem to find the library in the editor. doesn't seem like i can save any changes. what am i missing? what tab is it on? help!Thank in advance",awareness,0.655
Sub 'n' Up to emulate 12 string?,Riona,"Can I use the Sub 'n' Up Octaver to emulate a 12 string? How would it compare to the DigiTech Mosaic?I'd rather buy the Sub 'n' Up as I like the TC pedals (I have flashback, corona, hypergravity and polytune on my boar...",consideration,0.579
Acoustic guitar to PA,JoeGillespie,I play both electric and acoustic guitar through my VoiceLive3 with appropriate presets. I have been routing the microphone to a Bose PA and the guitar to a Katana 100. It occurred to me today that I would rather the aco...,consideration,0.207
Toneprint not showing templates,radiophonic,"When I connect my HoF2 or Flashback, my toneprint app only shows templates for the Sub N Up, Sub N Up Mini and SpetraComp. I can see my user prints for the flashback, but have no way to access any of the defaults on eith...",awareness,0.629
RS210C . [ combo ] can i find out date of manufacture ??..,nickp,bar code on the cab says 10626059 . any ideas when it was made ?.. pre or post behringer ?,awareness,0.491
"Noise floor, even with turned down volume",ChrisMarx,"hi,my DM12 is developing a squeal sound.The sound is there with even the synth volume turned down. It gets louder with the onboards effect like the amp effekts. To make it better visible I've boosted it 15dB to make that...",awareness,0.364
sub 'n' up as a buffer,betomonard,Hi guys. Anyone has tried it in buffer mode at pedalboard's first position? Currently I'm using a boss octave oc2 for that function. But now I'm wanting a polyphonic octaver that also maintain my guitar signal quality go...,awareness,0.272
VL3X sounds awful through electric amp!,MichaelRouth,"This may be covered elsewhere, but difficult to find because of limited search options.VL3X sounds great running direct into mixer, but into a tube amp, not so much! Harsh, bright, biting tone. Lack of adjustments in ind...",awareness,0.476
Missing clip for the power plug,pkt,My Hall of Fame pedal is missing the black clip for the power plug ( see picture). Does anyone know where I can get this? Thanks in advance.My pedal:Comapred to new pedal:,awareness,0.346
Connect Harmony G-XT to FX150 (Monitor) to External Acoustic...,ChristodeLange,HelloI have a couple of questions I need some help with. (I am a beginner !!!) I have looked at Craig's Corner Videos (Which Is very helpful/good btw thanks Craig!) But I haven't found an answer yet 1. Best way for co...,awareness,0.688
FX150 Vibration noise,ChristodeLange,Hi GuysGot my FX150 this week and am very excited to start experimenting with it! First thing I noticed though is when I use the mic or play guitar (acoustic) there is a funny noise coming from the Unit. Sounds like vibr...,decision,0.3
Increase midi note range,BrandonDorris,"I love the enormous range of these oscillators, and as a wind controller player, I would really like to be able to reach the full 7.5 octaves of my controller. Hoping this is coming!Thank you,Brandon D",consideration,0.382
win10 firmware updater issue,MarkTurrell,"i just got myself a neutron, already own a model d and deepmind 12d.i was easily able to update the firmware on both the model d and deepmind with the supplied utilities.however when i run the neutron 1.26 updater ...",awareness,0.671
Looper Question,MichaelSpringer,"Hi , after one year of pausing i played around with my vl3 again. Suddenly without touching any knob the looper started to play. This happened three times. Am i missing something?",decision,0.327
Beatbuddy (BB) and Ditto X4 Midi Sync,Adaptive,I've been trying to get this working for a while now. Here is a thread to help everyone else looking into this as to what is working and what is not.Firmware:* I am using RC_1.3.0.0_Build_91* This firmware package has a...,awareness,0.559
Is it possible to get better enveloper in the next firmware?,NiklasNorén,Is it possible that envelopers will be better in the next frimware?I find that attack control on the envelope responds very badly when I try to lower the attack and try to make strings and sweep sounds. It is only at abo...,awareness,0.754
LFO bleed into VCO pitch,LoganRogers,"I am noticing that the LFO bleeds into the VCO, causing the pitch to be unstable. It is minor, but it is there none-the-less. I can't tell if it's the CV from the LFO itself or the voltage drop from the LEDs causing this...",awareness,0.281
Key/Scale,JohnShepherd,I am doing a lot of programming of harmony. The edit mode for key/scale under the harmony button is displayed for about 5 seconds. Is there a way to get it to stay 'on' until I press the Home button to get out of it? Tha...,awareness,0.588
Singing Harmony into VL3X,JohnShepherd,"I sing harmony most of the night. I need harmonies from oohs/ahhs to a part above me or below me, and extra voices beyond those at times. I'm trying to figure out what harmonies to use in these various needs. I know my ...",awareness,0.429
when there will be a translation into Spanish and French of ...,KikeVila,"I would go very well, and it should be done",consideration,0.639
Any extra long power cables for Voicelive products?,hooya,"I find the stock power cord to be abysmally short. I have found one on Amazon that's 6.5 feet by EPtech, but I'm wondering if there are other options for a longer power cable for my Voicelive 3.",consideration,0.767
Store mic gain and eq with preset.,KjellBraaten,Hi I just bought the Voicelive 3 extreme and look so much forward to a simpler live life! The only thing I cannot figure is how to store eq and volume settings for the mic in presets and steps?I use my vocal mic for both...,decision,0.423
Problem Audio Interface Voicelive 3.,orson13,"Hello, I'm using voicelive 3 as an audio interface. But I have noticed that when recording a second track in the DAW it is recorded with a small latency with respect to the first and I have to move the track in the DA...",awareness,0.577
All the lights of the of the octave go on,BennySmets,"At startup, all the lights of the octave go to one out and nothing more goes for the rest, tried a firmware but it stopped working, I sent the neutron back for repair, there are still so people with this problem",awareness,0.587
Perform V - Wireless IEM,MattySmith,"Hey, Just in case anyone has had any success with this, i’ll ask.I thought I was being really smart and purchased a Bluetooth transmitter and Bluetooth headphones (that look like proper IEM’s). I hooked the transmitter u...",advocacy,0.282
VoiceLive Play to a mixer setup,OlegUsov,Hello.In my mixer there are MIC and Line inputs. Which of the inputs should I connect my VoiceLive Play to? What is level of the output signal? I mean XLR outputs?,consideration,0.316
Oscillator strangeness.,AndyButler,"I found some most peculiar behavior with the Oscillators.This works for both osc, but this is how I can get it from osc 1.Set osc 1 to triangle wave. Set controls so that just oscillator one can be heard, without distort...",awareness,0.57
Sentry - more highs and feedback,fievel,"Hi all,I just noticed that my Sentry is making my tone significantly brighter, sometimes to the point of getting high-pitched feedback - especially with reverb on. This happens when it's in my amp's effects loop, but is ...",awareness,0.575
quantize to incoming time signature,PeterDeClippel,"After some search I don't think it's possible, but I will ask anyway. maybe I missed something...is it possible to let the voicelive 3 quantize on incoming time signature? I'll explain what I want. I also use the pigtron...",awareness,0.707
Pitch Fadder fault,MartinRoake,"HIHas anybody else noticed that the osc 1 pitch mod fader affects the pitch mod of osc 2 ,,so for an example i have only osc 2 level up wave forms on osc 1 are off, but the pitch of osc 2 is affected by osc 1 pitch mod ...",consideration,0.146
4th input to input cycle,VilleHuuri,"Hello everybody ( and Craig & other staff),I have a request function for Voicelive 3:I would need a fourth input option to cycle.Since 2015 I used the standard input cycles:VOC --> GTR --> VOC+GTRThis was enou...",consideration,0.265
Original VoiceLive Touch (1) Problem with software update. A...,DonFuller,"This may be unusual. A few years ago I bought a new Tc Helicon VoiceLive Touch. While it was being shipped I was robbed and lost all my microphones and everything esle. So, the new VoiceLive Touch sat in a closet and I f...",decision,0.388
Multi Trigger not always working,ReneGarcia,"Hi,I own a Model D with firmware revision 1.0.7When I enable Multi Trigger mode (old or new style), sometimes the notes are not triggered, some are played legato as if re-trigger was not enabled. After a few investigatio...",awareness,0.657
Voice Live 1 Input jack for expression pedal,ChrisHurren,I have an original VoiceLive 1 machine. I play in a Steely Dan tribute band. I sing all the back up vocal harmonies. Suddenly Voicelive does not recognize my volume pedal. I cannot calibrate it using the UT9 format....,decision,0.112
Voicelive 3 harmony question,SteveKatsikas,"I am a keyboard player with a VL3. Because of the way I play, I am always jumping around midichannels in a given song. It is my understanding that the harmonies can only be addressed via MIDI on a single midi channel (...",consideration,0.626
VL3x Default Mic Gain,PhilRol,helloI would like to know what is the default value of the mic gain parameter in the set up input of my VoiceLive 3 extreme.My value is fixed to 30db and I wonder if it's not too loud.Is there a way to know the default s...,consideration,0.327
Issues On Startup,FrankMundo,"Hello all! Hopefully someone from Behringer monitors this board?I've had my Neutron for almost a month now. It seemed to be running properly until last night. I started it up and instead of going through its ""light show...",decision,0.363
G MAJOR 2 USER PATCHES,BIG66,Hello everybody. A question: does it exist a working editor in which I can find tons of user patches x G MAJOR 2 ? Can u please help me to find ? I use windows 10. THANK U in advance. Love to all !,consideration,0.602
Firmware upgrades,ashwin_nat,"Hi,I wanted to check if there are any firmware upgrades for my pedals (spectracomp, sub n'up and mini flashback), but the website (http://toneprints.com/spectracomp-bass-compressor/support/) gave me this error. ...",decision,0.367
Midi CC 64 produces undocumented result. Badly implemented ...,AndyButler,"Sending midi CC 64, value 64..127 to the Neutron causes it to sustain permanently.Similar to the standard Hold function for the CC.Sending midi CC64 value 0..63 cancels the sustain, but does not have effect until a Note-...",awareness,0.648
Backing track with click,TomMeehan,"On page 160 of the VL3 Extreme User Manual, in the section ""Backing Track Setting"" it states the following: This mode allows you to have a two-component Backing Track where ""the click"" is sent to one 1/4"" output and ""th...",awareness,0.577
Looper Not Routed to USB Output,BenPearce,I am monitoring the Voice Live 3 USB output in the following configurationUSB Mode: Daw TrackingUSB Output Mode: Vox L / Git RThe effected guitar is coming though the right side of the USB output as expected. However I h...,awareness,0.762
Guitar Bleeding Into USB Output,BenPearce,"I'm monitoring the USB output of my Voice Live 3 in the following configuration.USB Mode: DAW TrackingUSB Output Mode: Same as XLRWhen I play through the guitar channel of my Voice Live 3 I hear it in the USB output, eve...",awareness,0.594
Voice Live 3 as an Audio Interface,BenPearce,I came across this thread claiming that the Voice Live 3 is not intended to be used as an audio interface:https://music-group.force.com/musickb/view?name=tch&id=kA028000000NBsfI've been running some experiments and a...,awareness,0.6
333Xl Infinium tubes question; also related question about B...,BrandonSignorin,I am brand new to tubes with my 333XL Infinium. How do I know what tubes can be used in it? I have tried to do research but I keep reading conflicting information. The manual says I must use EL34/6550 or 6L6/5881-based...,awareness,0.751
Automation Voicelive Play,MarcoAfricani,Hi everyone! I wish to create an automation for a show. I need to switch the presets automatically at a certain time. Is it possible with the voicelive play? Is there a device from TC helicon that allow me to do it? Than...,awareness,0.672
Help in finding the right preset for a song with Play Acoust...,PaoloTrulli,"Can you please help me in finding the right voice preset or settings for singing Mark Knopfler, ""Romeo and Juliet""Thankshttps://www.youtube.com/watch?v=iJmER493F4U",awareness,0.75
Toneprint editor v4 manual? How to edit knob parameters of H...,JonnyBGood,"I am using Toneprint editor v 4.0.05 under Windows 10, connected to a Hall of Fame 2 pedal. I can confirm the pedal is working correctly with the software, I can access reverb Toneprints and edit them and save them to my...",awareness,0.567
BitWig (8-Track) DAW with MIDI Kybd routing to Neutron via U...,GlennCummings,When I purchased my MIDI Keyboard [Nektar Impact LX88+] it came with BitWig 8-Track DAW. It has all the features but limitations on devices and tracks.. etcBut never mind all that. I was able to automatically add the ...,decision,0.535
Voice Live 3 Extreme questionable Quality/Reliability - 3 de...,ThomasStadtmüll,Let me tell you the sad story of my experience with VL3X reliability I have fallen deeply in love with the VL3X and did enjoy using it very much - if it only worked.All three (!) VL3X devices I have received over the pas...,negative,0.319
some questions about perform VE,MansHenriksson,"HI, about to pull the trigger on a perform ve.was looking at the Roland Aira vt-3 for some time, I'm a bit obsessed with formant shifting and pitchshifting vocals, but then i found the Perform VE which seems to have more...",awareness,0.249
Can flashback toneprint do delay + clean boost?,Gmork6,Im hoping i can make a toneprint that when engaged does delay with a boost in volume as well. I hate when its time to solo and i have to stomp the delay pedal and then also stomp a separate clean boost pedal.,awareness,0.49
TC Helicon VL3 Extreme,VerlandoSmall,I wanna purchase the VL3 Extreme but I'm not sure if all the bugs are fixed...can anyone say if it's OK to purchase it?,consideration,0.421
VL3/Switch 6 set up,AndyLevine,"Hi , I was looking for a thread that might discuss how people have their VL3/switch 6 set up but I couldn’t find one. I’m a guitarist looking to do duet stuff with vocalist so I use both guitar and vocal looping, bass et...",consideration,0.623
Preset Made with Backing Trax and Steps (Can Guitar Presets ...,PaulStrolia,"Hi Guys,I've been using VL3X and have over 100 songs with recorded/written program changes example harmony goes on, doubler goes off etc.I've been using 1 guitar setting so I went to settings and made the one guitar soun...",awareness,0.315
TC Pedal Suggestion - Toneprint Speaker Simulator (for IR...,jamhandy,"Looks like this forum has a word count max (1,000??), so this will be in several section to get it all in.........----------------------------------------------Suggestion >> A SPEAKER SIMULATOR pedal that allows fo...",awareness,0.427
Developer Information or Api,ChrisWalker,Is there a Dm developer forum or API .Specifically I would like to know how to read patch names since the windows app does this I know its possible over midi but it does not seem to be in the MIDI spec.any help would be ...,awareness,0.402
KXD15 XLR input,LeeHough,HiI wondered if the channel 1 XLR input on the KXD15 could be used direct from a mixer or is it specifically tuned for microphones only?I usually take 2 keyboards L&R signals into a small behringer mixer and then tak...,consideration,0.377
MIDI CC automation problem with Ableton Live,DennisWissel,"Hi,I have a problem with my Behringer DeepMind 12. I am sending a MIDI CC automation to the VCF cutoff frequency (CC #29 ) with Ableton Live 10.When I draw a stepped curve with the draw mode, it seems to work. But when I...",awareness,0.356
Play Acoustic wishlist,AndreasBuch,"Hi there, it is great that there is a global Delay/Reverb control in the Mix-section, but that control does not affect the guitar Delay/Reverb. It would be great if this control would affect the guitar section also.If th...",awareness,0.573
Connecting an Alesis SR18 to a VL3X,MikeStrauss,I just got a new rockboard pedalboard. I'm trying to set it up. Everything was going great until I tried connecting my SR18 drum machine into my VL3X. I connected a 1/4 inch cable into the back of the SR18 and then the o...,awareness,0.237
STEREO Flashback V2 Self-Oscillating Delays Issues,cgtrman,"I am using the flashback v2 in a stereo and experimenting with different Toneprints, the Chaos Crescendo is one. There are two issues when I use the MASH button to enter self-oscillation. First, there is a huge volume in...",advocacy,0.572
VL3X - Output: only backing tracks and vocals,FabioGarcia,"Hi,I need to add a guitar processor to my rig, so in some gigs I'll need to use my VL3X only for vocals and backingtracks (no guitar sound). Could be possible to use Dual Mono mode to send Vocals to Left channel, Backi...",awareness,0.318
Play Acoustic has no output from the loop,ColinChettlebur,"Hi all.Just got a play acoustic and thought I was getting to grips with it until I tried looping!The guitar sounds great trough the pedal. However, If I have loop input as vocal + guitar, the vocals loop is fine but the ...",decision,0.395
Firmware App does not work,JonasEberle,"On Windows 7, the MIDI select dialog looks like in the attached image. I wonder what's written on the button behind the select box.I'd like to update. Please advise.",awareness,0.587
Deepmind 12 app,BramMooij,"Hello,I recently bought the Deepmind 12D. It is a fine instrument that did not give me any problem.I downloaded the app for IOS as well as the app for MAC-OS. I was able to make a connection with the IOS app over wifi an...",awareness,0.579
Dual Delay (TP Editor / Flashback x4) has no effect,huzzam1,"can anyone explain the ""delay2 (dual)"" & ""fb2 (dual)"" knobs in the editor? no matter what i do, they have no effect. I'm hoping to set up a slightly wide delay by setting a second delay time a few ms higher, but even...",consideration,0.284
MIDI out via USB,RobertEnforsen,"In the operation manual, it's stated that Neutron is sending MIDI via USB. Here's what can be read at page 9:(107) USB PORT – Connects to a computer via standard USB cable. The Neutronwill display in your DAW as a class-...",consideration,0.575
Flashback x4 MIDI compatibility issues with Boss ES-8 switch...,Bigfrog1,I am hoping someone can help. Based on older threads I have read it look like this might be challenging. I have just completed a new pedalboard build with the Boss ES-8 switcher as the brain and 3 midi capable pedals run...,consideration,0.362
confusing setup with peavey 6505 -,juggernogjones,"Hi All,I think this is probably something obvious, but im really confused with my gmajor setupI set up a patch for tuning my guitar.. and because I want it silent for tuning, I set the 'prsetOutlv' to -100dB in the hope ...",awareness,0.341
Acoustic Play,TimFrazier,Wondered how to make the acoustic play battery compatible.Would likely need a 12 volt power suppl.y any suggestions?Thanks.,consideration,0.658
How many USB ports on the computer? USB HUB?,GlennCummings,"When I look at the diagrams for hookup, it appears that three USB A connections are required on the DAW/PC per the hook-up examples. Given my main PC is a laptop, and one of the existing usb's in tied up in a Logitech M...",consideration,0.419
G System Effects Issue,Ziggy02809,Using three cable method in fx loop. Going guitar into head. Send of head to insert return on G System and return from loop to l mono out. Had to turn off noise gate because it was killing the effects. Now the wah effect...,awareness,0.695
VoiceLive 3 Mixer Knob Broken - Need Help to Find a Replace...,JamesHarkins,One of my Mixer Knob Controls is defective -- it no longer clicks nor will it change any parameters.Each of the 4 Mixer Knob Controls are 'rotary data encoders' with 24 ppr (Pulses Per Revolution).The replacement part wa...,decision,0.417
